Year,Newspaper,Print Circulation,Digital Circulation,eReaders no Subscription,Total Circulation,mediamarket
2006,FMN,71979,0,0,71979,2
2007,FMN,67370,90,0,67460,2
2008,FMN,62815,380,0,63195,2
2009,FMN,54706,3222,0,57928,2
2010,FMN,50930,3670,0,54600,2
2011,FMN,48185,3971,0,52156,2
2012,FMN,45274,3647,0,48921,2
2013,FMN,39640,3996,1293,44929,2
2014,FMN,36958,962,1750,39670,2
2006,GS,38274,0,0,38274,3
2007,GS,38038,0,0,38038,3
2008,GS,35399,453,0,35852,3
2009,GS,30842,1211,0,32053,3
2010,GS,29065,1416,0,30481,3
2011,GS,26770,1177,0,27947,3
2012,GS,24402,1170,0,25572,3
2013,GS,22371,1246,255,23872,3
2014,GS,21548,1284,907,23739,3
2006,JFT,141631,0,0,141631,4
2007,JFT,138341,0,0,138341,4
2008,JFT,121218,0,0,121218,4
2009,JFT,101113,2443,0,103556,4
2010,JFT,94452,10702,0,105154,4
2011,JFT,85167,10955,0,96122,4
2012,JFT,77367,11033,0,88400,4
2013,JFT,68501,10889,0,79390,4
2014,JFT,58445,5164,0,63609,4
2006,MH,288125,168,0,288293,5
2007,MH,262673,140,0,262813,5
2008,MH,240323,2778,0,243101,5
2009,MH,226241,2753,0,228994,5
2010,MH,198904,7559,0,206463,5
2011,MH,187932,10483,2601,201016,5
2012,MH,166627,11593,3016,181236,5
2013,MH,,,,0,5
2014,MH,149742,10694,6761,167197,5
2006,OS,199636,0,0,199636,6
2007,OS,199935,0,0,199935,6
2008,OS,,,,0,6
2009,OS,169988,4438,0,174426,6
2010,OS,161217,4536,0,165753,6
2011,OS,163218,4551,0,167769,6
2012,OS,140709,3888,15636,160233,6
2013,OS,110709,4235,32952,147896,6
2014,OS,101472,5598,33663,140733,6
2006,PBP,144732,0,0,144732,11
2007,PBP,137387,0,0,137387,11
2008,PBP,126855,591,0,127446,11
2009,PBP,110974,2285,0,113259,11
2010,PBP,96456,3311,0,99767,11
2011,PBP,90350,4079,0,94429,11
2012,PBP,83133,4303,0,87436,11
2013,PBP,74644,12056,133,86833,11
2014,PBP,68323,15589,3648,87560,11
2006,PNJ,53280,0,0,53280,7
2007,PNJ,51475,0,0,51475,7
2008,PNJ,47826,942,0,48768,7
2009,PNJ,39606,1839,0,41445,7
2010,PNJ,37347,2403,0,39750,7
2011,PNJ,35930,2326,0,38256,7
2012,PNJ,32569,1838,227,34634,7
2013,PNJ,27527,1947,1087,30561,7
2014,PNJ,25440,1583,1427,28450,7
2006,TBT,263717,0,0,263717,10
2007,TBT,259076,0,0,259076,10
2008,TBT,240636,2297,0,242933,10
2009,TBT,222793,4106,0,226899,10
2010,TBT,219172,9252,0,228424,10
2011,TBT,213744,12155,678,226577,10
2012,TBT,206971,13058,552,220581,10
2013,TBT,194404,12107,428,206939,10
2014,TBT,169016,15951,3000,187967,10
2006,TD,43741,0,0,43741,9
2007,TD,43133,0,0,43133,9
2008,TD,42116,0,0,42116,9
2009,TD,35744,1021,0,36765,9
2010,TD,32048,1563,0,33611,9
2011,TD,28314,1456,0,29770,9
2012,TD,25805,1482,2391,29678,9
2013,TD,23791,1013,1736,26540,9
2014,TD,22640,991,2448,26079,9
